trading_date,ticker,sector,title,vader_compound,vader_class,lm_tone,lm_class,lm_positive_terms,lm_negative_terms,lm_matched_token_ratio,absolute_score_difference
2020-03-23,EA,Comm,"Shares of several communication companies are trading higher after the Fed announced actions to support the U.S. economy. The Fed will do open-ended treasury, mortgage-backed securities and will buy $375 billion in treasury this week. Additionally, the closing of several public venues and theaters may be a potential positive catalyst for home entertainment options such as streaming and gaming.",0.9337,positive,0.0,neutral,POSITIVE,CLOSING,0.034482758620689655,0.9337
2020-05-11,NKE,Consumer,Bankruptcy A-Z,0.0,neutral,-1.0,negative,,BANKRUPTCY,1.0,1.0
2020-04-02,XOM,Energy,"Exxon Mobil Says Free Market Best Way Of Resolving Oil Imbalances, The Company Also Said It Is Seeking State Intervention In Energy Markets",0.9042,positive,0.0,neutral,BEST,IMBALANCES,0.08695652173913043,0.9042
2023-01-05,WFC,Financials,Credit Acceptance (CACC) Sued for Engaging in Predatory Lending,0.7906,positive,-0.2222222222222222,negative,,SUED|PREDATORY,0.2222222222222222,1.0128222222222223
2020-05-05,ABBV,Healthcare,AbbVie wins U.S. antitrust approval to buy Allergan,0.7783,positive,-0.14285714285714285,negative,,ANTITRUST,0.14285714285714285,0.9211571428571428
2020-08-03,GE,Industrials,"GE Earnings: Not Good, but Better Than Feared",-0.8447,negative,0.25,positive,GOOD|BETTER,,0.25,1.0947
2020-04-08,DD,Materials,"Shares of several basic material companies are trading higher amid optimism that coronavirus cases around the world are potentially easing. Global slowing cases could raise hopes of a sooner return to spending, economic activity and investment.",0.8591,positive,-0.05714285714285714,negative,,EASING|SLOWING,0.05714285714285714,0.9162428571428571
2020-04-07,O,RealEstate,"Shares of several real estate companies are trading higher amid optimism that coronavirus cases in Asia are potentially easing. Global slowing cases could raise hopes of a sooner return to spending, economic activity, and investment.",0.8591,positive,-0.058823529411764705,negative,,EASING|SLOWING,0.058823529411764705,0.9179235294117647
2020-04-07,INTC,Tech,A Fascinating Anomaly,0.5423,positive,-0.5,negative,,ANOMALY,0.5,1.0423
2022-01-25,NEE,Utilities,Amended: NextEra Energy Q4 Profit Tops View; Lifts Annual Profit Outlook,0.8807,positive,0.0,neutral,,,0.0,0.8807
